index,id,time,link,message,like,share,comment
413,1282973728458676_1783435418412502,1533447900,https://www.facebook.com/CH3Thailand/videos/1783435418412502/,#3แซบ วันนี้แจกความสดใส เปิดเวทีต้อนรับน้องๆ #BNK48 ที่ขนกันมาทั้งรุ่น 1 รุ่น 2 แต่ละคนจะมีวีรกรรมอะไรบ้าง ห้ามพลาด! 13.15 น. ทาง #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,331,9,3
414,1282973728458676_1783521175070593,1533444300,https://www.facebook.com/CH3Thailand/videos/1783521175070593/,#ศึก12ราศี วันนี้ ตามไปดูกันว่าใครมีเกณฑ์รวยสายฟ้าแล่บ ติดตามได้ในเวลา 12.15 น. ทาง #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,255,3,0
415,1282973728458676_1783385968417447,1533443400,https://www.facebook.com/CH3Thailand/videos/1783385968417447/,"สนุกทั้งครอบครัวกับช่วง ""เที่ยงหรรษา อาทิตย์การ์ตูน"" ทุกวันอาทิตย์ เวลา 12.15 น. ที่ #ช่อง13 วันนี้พบกับเรื่อง ""มาย ลิตเติ้ล โพนี่ เอเควสเทรียเกิร์ลส"" น้องๆ หนูๆ ห้ามพลาด! #Ch3Thailand",97,1,1
416,1282973728458676_1783407211748656,1533439800,https://www.facebook.com/CH3Thailand/videos/1783407211748656/,"ความใกล้ชิดทำให้หัวใจของเขาและเธอต้องหวั่นไหว ติดตามชมซีรีส์ #วุ่นรักทายาทพันล้าน #TheInheritors ทุกวันเสาร์-อาทิตย์ เวลา 11.00 น. ทาง #ช่อง28 วันนี้เสนอเป็นตอนแรก (หลังจบ ""ซุปตาร์ตัวร้ายกับนายต่างดาว"") ดูออนไลน์ คลิก ch3thailand.com/live/28 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",511,37,8
417,1282973728458676_1783463428409701,1533436200,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1783461085076602/?type=3,"วันนี้ รับชมการถ่ายทอดสด ""งานประกาศรางวัลนาฏราช ครั้งที่ 9"" ในเวลา 16.00 น. เป็นต้นไป ทาง #ช่อง33 และติดตามภาพบรรยากาศพรมแดง พร้อมรายงานสดผลรางวัลก่อนถ่ายทอดสดได้ที่ช่องทางโซเชียลมีเดียของ #Ch3Thailand  #นาฏราช #นาฏราชครั้งที่9 #นาฏราช2560",295,,2
418,1282973728458676_1783478965074814,1533434401,https://www.facebook.com/CH3Thailand/videos/1783478965074814/,#อลหม่านจานใหม่ พบกับการดวลทำอาหารจากทีมนักแสดง #ใต้ปีกปักษา รับชมได้ในเวลา 9.30 น. ทาง #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,139,0,0
419,1282973728458676_1783595588396485,1533434132,https://www.facebook.com/CH3Thailand/posts/1783595588396485,วันอาทิตย์นี้ ยังมีนัดกันที่หน้าจอทีวีเหมือนเดิมนะคุณผู้ชม สำหรับสัปดาห์นี้ เราได้ผู้เข้าแข่งขันอารมณ์ดี จากกองละครซีรีส์ ชุด My Hero ตอน ใต้ปีกปักษา  🍎พี่ดุ๊ก ภาณุเดช / พี่ใหม่ ณัฐฐา ลอยด์ 🥒แยม มทิรา / คริสซี่ กฤษณ์สิรี 🍯เกล รดา / เดวิด อัศวนนท์ รักใครชอบใครเป็น fc ใครก็ไปเจอกันวันอาทิตย์ที่ 5 สิงหาคมนี้ เวลา 9.30 ทางช่อง33 HD  ..แต่ถ้าอดใจรอเทปเต็มไม่ไหว ก็ไปชมความฮาแบบ Un Cut กันได้ กับ เปิดหม้อ อลหม่านจานใหม่ ทุกวันเสาร์ ทาง www.mello.me  #ใต้ปีกปักษา #อลหม่านจานใหม่,350,0,1
420,1282973728458676_1783370868418957,1533432600,https://www.facebook.com/CH3Thailand/posts/1783370868418957,"""เธอต้องเป็นนกที่นึกอยากจะกางปีกบินไปที่ไหนเมื่อไรก็ได้ตามที่ใจเธออยาก"" ดูย้อนหลัง ใต้ปีกปักษา EP.01 | 04-08-61 http://www.ch3thailand.com/news/scoop/13079 #ใต้ปีกปักษา #MyHeroวีรบุรุษสุดที่รัก #Ch3Thailand",397,,0
421,1282973728458676_1783341048421939,1533430801,https://www.facebook.com/CH3Thailand/posts/1783341048421939,ราศีใดให้ระวังความลับถูกเปิดเผย เช็กเลย! ดวงวันอาทิตย์ที่ 5 ส.ค. 2018 http://www.ch3thailand.com/news/scoop/13078 #Ch3Thailand #ดูดวง #ดวง,370,2,3
422,1282973728458676_1783488225073888,1533429900,https://www.facebook.com/CH3Thailand/videos/1783488225073888/,#เปรี้ยวปากเช็คอิน สัปดาห์นี้พาสาวสวย #ไอซ์อามีนา ไปเที่ยวและกินที่บางกะเจ้า รับชมได้ในเวลา 8.15 น. ทาง #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,148,1,1
