Weekday,timeInterval,checkHashtags,index,likeRank
Thursday,3-6,1,481,medium
Wednesday,12-15,1,484,low
Wednesday,9-12,1,485,low
Wednesday,9-12,1,486,medium
Tuesday,9-12,1,491,low
Monday,9-12,1,495,medium
Sunday,12-15,1,496,low
Sunday,3-6,1,497,low
Sunday,3-6,1,498,medium
Sunday,0-3,1,499,low
Sunday,0-3,1,500,low
Saturday,12-15,1,502,low
Saturday,12-15,1,503,medium
Saturday,6-9,1,504,low
Saturday,0-3,1,505,low
Friday,12-15,1,507,low
Friday,9-12,1,508,low
Friday,9-12,1,509,low
Thursday,6-9,1,511,low
Thursday,3-6,1,512,medium
Thursday,0-3,0,513,medium
Wednesday,3-6,1,516,medium
Wednesday,0-3,1,517,low
Tuesday,6-9,1,520,medium
Tuesday,0-3,1,523,medium
Monday,12-15,1,525,medium
Monday,9-12,1,526,low
Monday,3-6,1,527,low
Monday,3-6,1,528,low
Sunday,9-12,1,530,medium
Sunday,3-6,1,531,low
Sunday,3-6,1,532,low
Saturday,9-12,1,534,low
Saturday,9-12,1,536,low
Saturday,6-9,1,537,low
Saturday,6-9,1,538,high
Saturday,6-9,1,539,low
Friday,9-12,1,540,medium
Friday,3-6,1,542,medium
Thursday,9-12,1,543,low
Thursday,9-12,1,544,low
Thursday,6-9,1,545,low
Wednesday,9-12,1,547,medium
Wednesday,3-6,1,550,high
Tuesday,21-24,1,551,medium
Tuesday,3-6,1,554,medium
Tuesday,0-3,1,555,low
Monday,9-12,1,556,low
Monday,9-12,1,557,medium
Monday,9-12,0,558,low
Monday,6-9,0,559,low
Sunday,12-15,1,560,low
Sunday,9-12,1,562,medium
Sunday,3-6,1,563,low
Saturday,12-15,1,564,low
Saturday,12-15,1,565,low
Saturday,0-3,1,566,low
Thursday,9-12,1,569,low
Thursday,6-9,1,570,low
Thursday,3-6,1,571,low
Wednesday,3-6,1,573,medium
Wednesday,3-6,1,574,medium
Tuesday,9-12,1,576,low
Tuesday,9-12,1,577,low
Tuesday,9-12,1,578,medium
Tuesday,6-9,1,579,low
Tuesday,6-9,1,580,medium
Sunday,12-15,1,584,low
Saturday,9-12,1,587,low
Saturday,3-6,1,588,low
Friday,6-9,1,590,low
Friday,6-9,1,591,low
Friday,3-6,0,592,medium
Friday,3-6,0,593,medium
Thursday,9-12,1,595,low
Wednesday,6-9,1,597,medium
Wednesday,3-6,0,598,high
Wednesday,3-6,1,599,medium
Tuesday,9-12,0,602,medium
Thursday,9-12,1,604,low
Thursday,6-9,1,607,low
Tuesday,9-12,1,611,high
Monday,12-15,1,614,medium
Monday,6-9,1,615,low
Monday,3-6,1,616,low
Sunday,9-12,1,617,low
Sunday,6-9,1,618,low
Sunday,0-3,1,619,low
Saturday,12-15,1,620,low
Saturday,9-12,1,621,low
Friday,15-18,1,622,low
Friday,9-12,1,624,medium
Friday,6-9,1,625,medium
Friday,3-6,1,626,medium
Thursday,9-12,1,627,low
Thursday,9-12,1,628,low
Thursday,9-12,1,629,medium
Thursday,6-9,1,630,medium
Thursday,3-6,1,631,low
Thursday,3-6,1,632,low
Thursday,3-6,1,633,low
Wednesday,9-12,1,635,low
Wednesday,6-9,1,636,medium
Wednesday,6-9,1,637,medium
Wednesday,3-6,1,638,high
Tuesday,12-15,1,639,low
Tuesday,9-12,1,640,medium
Tuesday,9-12,1,641,low
Tuesday,6-9,1,642,high
Monday,9-12,1,645,low
Monday,9-12,1,646,medium
Monday,6-9,1,647,low
Sunday,6-9,1,648,low
Sunday,3-6,1,649,low
Sunday,0-3,1,650,low
Saturday,15-18,1,651,low
Saturday,12-15,1,652,low
Friday,9-12,1,653,low
Friday,9-12,1,655,medium
Friday,6-9,1,656,medium
Friday,6-9,1,657,medium
Friday,3-6,1,658,low
Thursday,9-12,1,659,low
Thursday,9-12,1,660,medium
Wednesday,9-12,1,661,medium
Wednesday,9-12,1,662,medium
Wednesday,6-9,1,663,medium
Tuesday,15-18,1,665,low
Tuesday,9-12,1,666,medium
Tuesday,9-12,1,667,medium
Tuesday,0-3,1,669,medium
Sunday,12-15,1,671,low
Sunday,9-12,1,672,low
Sunday,6-9,1,673,low
Saturday,12-15,1,675,low
Saturday,9-12,1,676,low
Saturday,9-12,1,677,low
Friday,12-15,1,679,low
Friday,6-9,1,680,low
Thursday,6-9,1,685,medium
Thursday,6-9,1,686,low
Wednesday,15-18,1,688,medium
Wednesday,9-12,1,689,medium
Wednesday,6-9,1,690,medium
Wednesday,3-6,1,691,medium
Tuesday,9-12,1,693,medium
Tuesday,6-9,1,694,medium
Monday,12-15,1,696,low
Monday,3-6,1,698,medium
Monday,3-6,1,699,medium
Monday,0-3,1,700,low
Sunday,15-18,1,701,medium
Sunday,15-18,1,702,low
Sunday,12-15,1,703,low
Sunday,9-12,1,704,low
Sunday,9-12,1,705,medium
Sunday,6-9,1,706,low
Saturday,9-12,1,708,low
Friday,12-15,1,710,medium
Friday,12-15,1,711,medium
Thursday,3-6,1,712,medium
Monday,15-18,1,714,medium
Monday,6-9,1,716,high
Monday,3-6,1,718,medium
Sunday,6-9,1,721,low
Sunday,6-9,1,722,low
Sunday,6-9,1,723,low
Sunday,0-3,1,724,low
Sunday,0-3,1,725,low
Saturday,12-15,1,726,low
Saturday,12-15,1,727,medium
Saturday,12-15,1,728,low
Saturday,9-12,1,729,low
Friday,15-18,1,730,low
Friday,9-12,1,733,medium
Friday,6-9,1,734,low
Friday,3-6,1,735,medium
Thursday,6-9,1,736,low
Wednesday,12-15,1,738,low
Wednesday,9-12,1,739,low
Wednesday,6-9,1,740,low
Wednesday,3-6,1,741,medium
Tuesday,9-12,1,742,low
Tuesday,9-12,1,743,medium
Tuesday,6-9,1,744,medium
Tuesday,3-6,1,745,medium
Monday,12-15,1,746,medium
Monday,12-15,1,747,low
Monday,9-12,1,748,low
Monday,6-9,1,749,medium
Monday,3-6,1,750,low
Monday,0-3,1,751,low
